Judul,Harga,Deskripsi
"MESIN PIROLISIS (PENGUBAH LIMBAH ORGANIK MENJADI BAHAN PENGAWET ATAU ASAP CAIR) ASIANINDO","0","Mesin pirolisis adalah alat yang menggunakan panas tinggi dalam kondisi minim atau tanpa oksigen untuk mengolah limbah organik atau sampah, mengubahnya menjadi produk lain seperti bahan pengawet dan asap cair. Mesin ini berperan penting dalam pengelolaan sampah, terutama kayu, batok kelapa, serabut kelapa, dan dapat menghasilkan produk yang bernilai tambah. 

Spesifikasi : Kapasitas 60 kg bahan baku
- Bahan Stainless steel 3mm
- Terdiri dari tabung reaktor, tabung kondensor
- Safety valve, thermo analog, dan presure gauge

Cara Kerja Mesin Pirolisis:
1. Pemanasan:
Limbah organik atau sampah dimasukkan ke dalam reaktor dan dipanaskan pada suhu tinggi (misalnya, 300-800°C) tanpa adanya oksigen. 
2. Penguraian:
Proses pirolisis menyebabkan bahan organik terurai menjadi molekul yang lebih kecil, menghasilkan bahan pengawet dan asap cair.
3. Pemurnian:
Produk bahan pengawet dan asap cair dapat dipisahkan dan dimurnikan untuk digunakan lebih lanjut, sedangkan residu padat dapat diolah menjadi karbon aktif atau produk lain. "
"Mesin Sterilisasi UHT kapasitas 200 liter Asianindo","0","MESIN STERILISASI UHT

Mesin Sterilisasi UHT merupakan mesin yang memiliki metode untuk menjaga kualitas pangan yang bersifat cair dengan menggunakan pemanasan intensif dalam waktu cepat. Mesin sterilisasi ini, digunakan untuk mensterilisasi minuman antara lain susu, yogurt, teh, sirup, minuman herbal, dan lain-lain.

Spesifikasi :
- HARGA : Rp.235.000.000
- Kapasitas = 200 ltr/jam
Kelengkapan 
1.Feed tank
2.UHT unit
3.Aseptic tank
4.Thermal oil
5.Water Boiler
6.Cooling Tower

- ⁠Sistem Sterilisasi = indirect
- ⁠Modul UHT menggunakan sistem pemanas steam sudah termasuk internal boiler dengan pemanas electric heater
- ⁠Media pendingin = cooling water
- ⁠Suhu sterilisasi = 60 - 145*C (bisa disetting)
- ⁠Lama holding sterilisasi = 5 - 10 detik
- ⁠Suhu output produk = 30 - 40*C
- ⁠Type heat exchanger = Shell & Tube HE
- ⁠Sistem control operational = automatic PLC & HMI
- ⁠Material = stainless steel SUS 304"
"Retort Sterilisasi 500 Liter Pengawet Olahan Makanan & Bumbu Tanpa Bahan Pengawet | CV Asianindo","0","MESIN RETORT STERILISASI

Mesin retort ini ideal untuk sterilisasi produk makanan dalam kemasan tertutup. Menggunakan suhu tinggi dan tekanan untuk membunuh mikroorganisme berbahaya. Memperpanjang umur simpan produk. Bekerja sesuai Perka BPOM untuk produk steril komersial makanan olahan dalam kemasan non refrigerator. Awet tanpa pendinginan.

SPESIFIKASI

- TIPE MESIN : RVRL_500 OT IJT
- SISTEM KONTROL : OTOMATIS
- BAHAN : STAINLESS STEEL
- SISTEM PENGUNCIAN : RADIAL
- VOLUME TABUNG : 500 LITER
- DIMENSI TABUNG : 75 X 120 CM
- TEMPERATUR DIGITAL : SUPPORT DATA LOGGER
- MESIN PENDUKUNG : 1 SET BOILER
- PELENGKAP : 1 SET KOMPOR + REGULATOR"
"Mesin Pelet Apung Kapasitas 30 Kg Penggerak Bensin CV Asianindo","0","MESIN EXTRUDER CETAK PELET APUNG LENGKAP FEEDER

Model: Horizontal
Fungsi: Mesin cetak pelet apung
Penggerak:Bensin
Material Rangka: UNP 8 dan plat mild steel
Transmisi: Pulley dan V-belt
Kapasitas: 30 kg/jam
Sistem Pemanas: Gas LPG / Heater (pilih salah satu)
Cetakan (Die): Tersedia ukuran 2 mm, 3 mm, 4 mm, 5 mm (pilih salah satu)"
"Mesin Ekstrak Kapasitas 25liter CV Asianindo","0","Mesin Ekstrak Kapasitas 25liter
pengubah cair menjadi bubuk

keterangan produk :
- Mengeringkan bahan ekstrak dengan cepat dan efisien
- Mengurangi kadar air dalam ekstrak untuk memperpanjang umur simpan
- Mempertahankan kualitas dan kandungan nutrisi dari bahan ekstrak
- Menghasilkan ekstrak yang kering dan mudah disimpan atau diolah lebih lanjut
- Dilengkapi dengan suhu dan waktu pengeringan yang dapat diatur sesuai kebutuhan
- Desain yang simple dan mudah dioperasikan.

Spesifikasi ;
* Bahan Full Stainless Steel
* Tabung Double Jacket
* Suhu Terkontrol Otomatis
* Pengaduk otomatis
* free kompor

Nb: sebelum mesin kami kirim sudah kami uji coba ( trial ). jadi tidak ada kendala pada saat tiba di lokasi."
"Mesin Pelet Apung Kapasitas 30 Kg Penggerak Diesel CV Asianindo","0","MESIN EXTRUDER CETAK PELET APUNG LENGKAP FEEDER

Model: Horizontal
Fungsi: Mesin cetak pelet apung
Penggerak:Diesel
Material Rangka: UNP 8 dan plat mild steel
Transmisi: Pulley dan V-belt
Kapasitas: 30 kg/jam
Sistem Pemanas: Gas LPG / Heater (pilih salah satu)
Cetakan (Die): Tersedia ukuran 2 mm, 3 mm, 4 mm, 5 mm (pilih salah satu)"
"Mesin Giling Bumbu FFC Kapasitas 100kg Asianindo","0","Mesin Giling Bumbu FFC 23

Spesifikasi Mesin:
• Model: FFC 23
• Penggerak: Dinamo Motor atau Motor bensin
• Produktivitas: 55 kg/jam
• Rangka: Besi
• Isi Paket: 3 pcs saringan (halus, sedang, kasar)

Ideal untuk kebutuhan giling bumbu Anda. Mesin ini dirancang untuk efisiensi tinggi dengan kapasitas produksi 55 kg per jam. Dengan rangka besi yang kokoh, mesin ini menjamin daya tahan dan kinerja jangka panjang. Paket lengkap dengan 3 jenis saringan untuk memenuhi berbagai kebutuhan penggilingan.

Penggunaan Fleksibel:
Mesin giling bumbu ini cocok digunakan dengan berbagai jenis motor. Pilihan antara dinamo motor atau motor bensin memberikan fleksibilitas dalam pengoperasian. Rangka besi menambah keandalan mesin. Dapatkan hasil terbaik dengan menggunakan semua 3 saringan yang termasuk dalam paket."
"Retort Sterilisasi 200 Liter Pengawet Olahan Makanan & Bumbu Tanpa Bahan Pengawet | CV Asianindo","0","MESIN RETORT STERILISASI

Mesin retort ini ideal untuk sterilisasi produk makanan dalam kemasan tertutup. Menggunakan suhu tinggi dan tekanan untuk membunuh mikroorganisme berbahaya. Memperpanjang umur simpan produk. Bekerja sesuai Perka BPOM untuk produk steril komersial makanan olahan dalam kemasan non refrigerator. Awet tanpa pendinginan.

SPESIFIKASI

- TIPE MESIN : RVRL_200 OT IJT
- SISTEM KONTROL : OTOMATIS
- BAHAN : STAINLESS STEEL
- SISTEM PENGUNCIAN : RADIAL
- VOLUME TABUNG : 200 LITER
- DIMENSI TABUNG : 60 X 100 CM
- TEMPERATUR DIGITAL : SUPPORT DATA LOGGER
- MESIN PENDUKUNG : 1 SET BOILER
- PELENGKAP : 1 SET KOMPOR + REGULATOR"
"Mesin Pengering Karpet Kapasitas 100 Kg Asianindo","0","Mesin Pengering Karpet"
"Mesin Pirolisis Sampah Plastik Kapasitas 10 Kg CV Asianindo","0","Mesin Pirolisis Plastik adalah alat pengolah limbah plastik menggunakan panas tinggi dalam kondisi minim oksigen untuk mengubah plastik menjadi bahan bakar cair seperti premium, minyak tanah, solar ringan, serta gas yang dapat dimanfaatkan kembali sebagai sumber panas. Teknologi ini menjadi solusi modern untuk mengurangi limbah plastik sekaligus menghasilkan produk bernilai tinggi yang dapat dimanfaatkan untuk kebutuhan industri maupun energi.

Dengan metode pemanasan tertutup, proses pirolisis memecah struktur plastik tanpa pembakaran terbuka, sehingga lebih aman, efisien, dan ramah lingkungan. Mesin ini cocok digunakan untuk pengusaha daur ulang, pengolahan limbah, hingga industri skala kecil dan menengah.

Spesifikasi Mesin:
* Kapasitas 10 kg / proses
* Material Stainless Steel 3 mm (kecuali bagian dudukan/jagrak)
* Komponen lengkap: tabung reaktor, kondensor pendingin, pipa penyalur gas, dan bak sirkulasi air
* Dilengkapi: pressure gauge (Pengatur Suhu otomatis dan manual)
* Fitur Termometer Ruangan Terpasang|
* Bahan Bakar : Oli Bekas 
* Dilengkapi Safety Valve, Pengukur Tekanan, dan Kran Hasil
* Dilengkapi Penahan panas di sekeliling tabung utama reaktor
* Hasil minyak terbagi 2 : Setara Solar dan Premium
* Dilengkapi Set Kompor

Cara Kerja Mesin Pirolisis Plastik:
1. Pemanasan
Plastik (jenis PP, PE, dan sejenisnya) dimasukkan ke dalam reaktor, kemudian dipanaskan hingga suhu tinggi sekitar 350–500°C dalam kondisi tanpa oksigen.
2. Penguraian (Thermal Cracking)
Pada suhu tinggi ini, plastik mulai terurai menjadi gas hidrokarbon. Gas tersebut kemudian dialirkan menuju kondensor.
3. Kondensasi & Pemurnian
Gas hasil pirolisis didinginkan dalam kondensor hingga berubah menjadi cairan bahan bakar seperti:
* Minyak pirolisis (setara premium)
* Solar ringan

Sementara residu padat dapat digunakan sebagai carbon black, dan sebagian gas dapat dipakai kembali sebagai bahan bakar pemanas."
